-0.999962	-0.004859	-0.007106
-0.999909	-0.006978	-0.011573
-0.999835	-0.008819	-0.015846
-0.999750	-0.010356	-0.019844
-0.999658	-0.011572	-0.023486
-0.999565	-0.012460	-0.026703
-0.999482	-0.013016	-0.029428
-0.999413	-0.013248	-0.031610
-0.999362	-0.013166	-0.033202
-0.999333	-0.012786	-0.034177
-0.999330	-0.012129	-0.034514
-0.999352	-0.011223	-0.034208
-0.999395	-0.010094	-0.033272
-0.999458	-0.008773	-0.031726
-0.999535	-0.007288	-0.029607
-0.999621	-0.005672	-0.026962
-0.999708	-0.003954	-0.023851
-0.999791	-0.002162	-0.020341
-0.999863	-0.000324	-0.016513
-0.999921	0.001534	-0.012447
-0.999960	0.003388	-0.008235
-0.999978	0.005218	-0.003966
-0.999974	0.006999	0.000268
-0.999952	0.008714	0.004371
-0.999912	0.010345	0.008257
-0.999859	0.011872	0.011841
-0.999798	0.013277	0.015045
-0.999737	0.014540	0.017801
-0.999676	0.015642	0.020051
-0.999626	0.016565	0.021749
-0.999589	0.017286	0.022860
-0.999570	0.017783	0.023368
-0.999567	0.018038	0.023270
-0.999582	0.018028	0.022576
-0.999617	0.017733	0.021318
-0.999662	0.017139	0.019539
-0.999719	0.016229	0.017297
-0.999780	0.014995	0.014665
-0.999842	0.013432	0.011722
-0.999897	0.011543	0.008561
-0.999942	0.009336	0.005277
-0.999974	0.006826	0.001968
-0.999990	0.004037	-0.001267
-0.999990	0.001001	-0.004334
-0.999973	-0.002245	-0.007145
-0.999938	-0.005659	-0.009622
-0.999890	-0.009190	-0.011698
-0.999830	-0.012783	-0.013317
-0.999761	-0.016382	-0.014439
-0.999688	-0.019927	-0.015038
-0.999612	-0.023359	-0.015106
-0.999537	-0.026619	-0.014646
-0.999466	-0.029648	-0.013678
-0.999400	-0.032393	-0.012233
-0.999342	-0.034803	-0.010361
-0.999288	-0.036833	-0.008116
-0.999245	-0.038444	-0.005566
-0.999211	-0.039602	-0.002783
-0.999189	-0.040282	0.000149
-0.999175	-0.040468	0.003150
-0.999175	-0.040150	0.006133
-0.999185	-0.039325	0.009010
-0.999209	-0.038000	0.011701
-0.999245	-0.036194	0.014126
-0.999293	-0.033928	0.016213
-0.999352	-0.031234	0.017897
-0.999421	-0.028151	0.019126
-0.999496	-0.024723	0.019856
-0.999578	-0.021002	0.020059
-0.999660	-0.017045	0.019719
-0.999740	-0.012911	0.018835
-0.999810	-0.008662	0.017421
-0.999871	-0.004363	0.015505
-0.999914	-0.000078	0.013129
-0.999939	0.004129	0.010348
-0.999940	0.008199	0.007227
-0.999920	0.012075	0.003843
-0.999878	0.015706	0.000277
-0.999813	0.019043	-0.003384
-0.999732	0.022047	-0.007051
-0.999639	0.024686	-0.010635
-0.999537	0.026934	-0.014056
-0.999437	0.028773	-0.017232
-0.999341	0.030191	-0.020098
-0.999259	0.031186	-0.022592
-0.999192	0.031760	-0.024667
-0.999145	0.031918	-0.026290
-0.999121	0.031676	-0.027440
-0.999122	0.031050	-0.028109
-0.999148	0.030063	-0.028303
-0.999194	0.028738	-0.028044
-0.999258	0.027102	-0.027361
-0.999338	0.025183	-0.026297
-0.999426	0.023014	-0.024902
-0.999518	0.020623	-0.023238
-0.999609	0.018047	-0.021368
-0.999695	0.015314	-0.019363
-0.999772	0.012461	-0.017296
-0.999839	0.009521	-0.015237
-0.999891	0.006525	-0.013259
-0.999929	0.003509	-0.011426
